location;municipality_code;meter_id;meter_name
Mørkvedbukta skole og barnehage;1804;Eklima_82290_TAM;Temp middel
ELBIL-LADERE BODØ;1804;EID_972418013_00290;Hålogalandsgata 131
ELBIL-LADERE BODØ;1804;EID_972418013_00315;Furumoen Sykehjem
ELBIL-LADERE BODØ;1804;EID_972418013_00320;Mørkved Sykehjem
ELBIL-LADERE BODØ;1804;EID_972418013_00305;Tverlandet BOS 3
ELBIL-LADERE BODØ;1804;EID_972418013_00300;Tverlandet BOS 2
ELBIL-LADERE BODØ;1804;EID_972418013_00295;Tverlandet BOS 1
ELBIL-LADERE BODØ;1804;EID_972418013_00310;Vollan Sykehjem
ELBIL-LADERE BODØ;1804;Eklima_82290_TAM;Temp middel
Vatnlia Leirskole;1804;Eklima_82290_GD17;Graddager
Vatnlia Leirskole;1804;Eklima_82290_TAM;Temp middel
Vatnlia Leirskole;1804;707057500067232438;Vatnlia Leirsted Bestyrerbolig
Vatnlia Leirskole;1804;707057500067232476;Hovedhus
Misvær Nye Barnehage;1804;EID_972418013_00280;Fastkraft
Misvær Nye Barnehage;1804;EID_972418013_00281/3;Varmepumpe
Misvær Nye Barnehage;1804;Eklima_82290_TAM;Temp middel
Kvartal 99 Bygarasje;1804;Eklima_82290_TAM;Temp middel
Kvartal 99 Bygarasje;1804;707057500067418986;El Kv99 Bygarasje
Vågøynes gård;1804;Eklima_82290_TAM;Temp middel
GATEVARME BODØ;1804;EID_972418013_00060;Gatevarme Stormen Bibliotek
GATEVARME BODØ;1804;EID_972418013_00080;Gatevarme Stormen Konserthus
GATEVARME BODØ;1804;EID_972418013_00020;Gatevarme Rådhuset
GATEVARME BODØ;1804;707057500089501629;Gatevarme Kv99 FV70061
GATEVARME BODØ;1804;Eklima_82290_TAM;Temp middel
Kvartal 99 Isbane;1804;Eklima_82290_TAM;Temp middel
Kvartal 99 Isbane;1804;707057500067420064;Isvannsproduksjon
Miljøhuset;1804;707057500067420965;El
Miljøhuset;1804;Eklima_82290_TAM;Temp middel
Rådhuset Bodø;1804;Eklima_82290_TAM;Temp middel
Rådhuset Bodø;1804;EID_972418013_00021;Gatevarme flow
Rådhuset Bodø;1804;EID_972418013_00023;Gatevarme Returtemperatur
Rådhuset Bodø;1804;EID_972418013_00022;Gatevarme Turtemperatur
Rådhuset Bodø;1804;EID_972418013_00020;Gatevarme
Rådhuset Bodø;1804;707057500089501441-EID_972418013_00020;Fjernvarme FV70058 ex gatevarme
Rådhuset Bodø;1804;707057500067411147;Fastkraft
Tverlandet skole;1804;Eklima_82290_TAM;Temp middel
Tverlandet skole;1804;EID_972418013_00002;Hovedinntak
Tverlandet skole;1804;EID_972418013_00002-(EID_972418013_00001+EID_972418013_00003+EID_972418013_00004+EID_972418013_00005);Annet
Tverlandet skole;1804;EID_972418013_00004;Gymsal
Tverlandet skole;1804;EID_972418013_00003;Energisentral
Tverlandet skole;1804;EID_972418013_00001;Varmepumper
Tverlandet skole;1804;EID_972418013_00005;Elkjel
Alstad Ungdomsskole;1804;Eklima_82290_GD17;Graddager
Alstad Ungdomsskole;1804;Eklima_82290_TAM;Temp middel
Alstad Ungdomsskole;1804;707057500067171706;Fastkraft 66939
Tusenhjemmet;1804;707057500067064183;Fastkraft 6970631401426179
Tusenhjemmet;1804;707057500067064190;Fastkraft 6970631401426094
Tusenhjemmet;1804;707057500067064176;Fastkraft 6970631401302022
Tusenhjemmet;1804;Eklima_82290_TAM;Temp middel
Aspåsen Felleshall;1804;Eklima_82290_TAM;Temp middel
Aspåsen Felleshall;1804;707057500067312055;Fastkraft 43890
Aspåsen Skole;1804;707057500067407799;El modulbygg (ikke i bruk 2021)
Aspåsen Skole;1804;Eklima_82290_TAM;Temp middel
Aspåsen Skole;1804;707057500067086468;Elkjel 37826
Aspåsen Skole;1804;707057500067086451;Fastkraft 37824
