location;municipality_code;location_type;building_type;address;latitude;longitude
Mørkvedbukta skole og barnehage;1804;Bygning;Skole;Mørkvedbukta 38;67.279126;14.565775
ELBIL-LADERE BODØ;1804;Bygning;Annet bygg;Kongens gate 23;67.2833752;14.3827437
Vatnlia Leirskole;1804;Bygning;Skole;Vatnlia 42;67.3494943;14.7694971
Misvær Nye Barnehage;1804;Bygning;Barnehage;Nupveien 35;67.121826;15.008112
Kvartal 99 Bygarasje;1804;Bygning;Annet bygg;Prinsens gate 100;67.2804378;14.3763899
Vågøynes gård;1804;Bygning;Annet bygg;Forskerveien 21;67.28547069999999;14.4518646
GATEVARME BODØ;1804;Bygning;Annet bygg;Kongens gate 23;67.28325629999999;14.3831471
Kvartal 99 Isbane;1804;Bygning;Annet bygg;Prinsens gate 100;67.280896;14.375962
Miljøhuset;1804;Bygning;Annet bygg;Forskerveien 20;67.28495769999999;14.452346
Rådhuset Bodø;1804;Bygning;Administrasjonsbygg;Kongens gate 23;67.2833752;14.3827437
Tverlandet skole;1804;Bygning;Skole;Langoddveien 34;67.2976782;14.7265292
Alstad Ungdomsskole;1804;Bygning;Skole;Alstadveien 19;67.27506939999999;14.4867879
Tusenhjemmet;1804;Bygning;Annet bygg;Prinsens gate 130;67.2828758;14.3883768
Aspåsen Felleshall;1804;Bygning;Idrettsbygg;Hålogalandsgata 25;67.2783862;14.3804752
Aspåsen Skole;1804;Bygning;Skole;Hålogalandsgata 25;67.2783862;14.3804752
Vollsletta 10;1804;Bygning;Helsebygg;Vollsletta 10;67.29239079999999;14.4358333
Vollsletta 24;1804;Bygning;Helsebygg;Vollsletta 24;67.2929252;14.4398602
Vollsetta 8-10;1804;Bygning;Helsebygg;Vollsletta 8-10;67.2928068;14.4387206
Bødø bydrift Speiderveien 6-8;1804;Bygning;Annet bygg;Speiderveien 6;67.2830148;14.4078824
Bødø bydrift spiderveien 3;1804;Bygning;Annet bygg;Speiderveien 3;67.2829666;14.4093919
Stordalen garderobe;1804;Bygning;Idrettsbygg;Hellran 1;67.2919301;14.4478226
Stordalshallen;1804;Bygning;Idrettsbygg;Hellran 3;67.2920851;14.4485387
Bratten Mind senteret;1804;Bygning;Skole;Bratten 1;67.3062521;14.4069367
Bratten tilrettelagt undervisning;1804;Bygning;Skole;Bratten 1;67.3063762;14.4084935
Bratten Aktivitetspark Driftsbygning;1804;Bygning;Annet bygg;Bratten 7;67.3062925;14.4073664
Gimle fritidslokale;1804;Bygning;Bydels- og fritidsbygg;Bankgata 24A;67.2806511;14.3899118
Bodø Byggservise veksted;1804;Bygning;Annet bygg;Gamle Riksvei 4;67.2836657;14.4092355
Misvær Administrasjonsbygg;1804;Bygning;Administrasjonsbygg;Kulturveien 3576;67.1168023;15.0005761
Speiderveien 4;1804;Bygning;Administrasjonsbygg;Speiderveien 4;67.2832547;14.4072499
Herredshuset;1804;Bygning;Annet bygg;Gjerdåsveien 2;67.2847871;14.4092543
Barnevernet;1804;Bygning;Annet bygg;Dronningens gate 15;67.2838622;14.3827755
Sølvsuper helse og velferdssenter;1804;Bygning;Helsebygg;Vebjørn Tandbergs vei 18;67.2850798;14.4212294
