location;municipality_code;meter_id;meter_name
N.N. barnehage;5001;Fastkraft-timesmålt;El_Local_T01
N.N. barnehage;5001;Trondheim-VOLL;Eklima_68860_TAM
N.N. skole;5001;Temperatur VOLL;Eklima_68860_TAM
N.N. skole;5001;Voll TAN;Eklima_68860_TAN
N.N. skole;5001;Fjernvarme;El_Local_T02
N.N. skole;5001;Fastkraft;El_Local_T04
N.N. skole;5001;Ladestasjon elmåler;El_Local_T03
N.N. helse og velferdssenter;5001;Vannmåler;ESAVE_942110464_55_ID
N.N. helse og velferdssenter;5001;Voll TAN;Eklima_68860_TAN
N.N. helse og velferdssenter;5001;Fjernvarme;El_Local_T05
N.N. helse og velferdssenter;5001;Fastkraft-timesmålt;El_Local_T06
N.N. helse og velferdssenter;5001;Trondheim-VOLL;Eklima_68860_TAM
