meter_id;meter_type;unit;meter_level
Eklima_82290_TAM;Temperatur;°C;Annen måler
EID_972418013_00290;Fastkraft;kWh;Forbruksmåler
EID_972418013_00315;Fastkraft;kWh;Forbruksmåler
EID_972418013_00320;Fastkraft;kWh;Forbruksmåler
EID_972418013_00305;Fastkraft;kWh;Forbruksmåler
EID_972418013_00300;Fastkraft;kWh;Forbruksmåler
EID_972418013_00295;Fastkraft;kWh;Forbruksmåler
EID_972418013_00310;Fastkraft;kWh;Forbruksmåler
Eklima_82290_GD17;Graddager;grdg;Annen måler
707057500067232438;Fastkraft;kWh;Forbruksmåler
707057500067232476;Fastkraft;kWh;Forbruksmåler
EID_972418013_00280;Fastkraft;kWh;Forbruksmåler
EID_972418013_00281/3;Varmepumpe;kWh;Forbruksmåler
707057500067418986;Fastkraft;kWh;Forbruksmåler
EID_972418013_00060;Varme;kWh;Forbruksmåler
EID_972418013_00080;Varme;kWh;Forbruksmåler
EID_972418013_00020;Varme;kWh;Forbruksmåler
707057500089501629;Fjernvarme;kWh;Forbruksmåler
707057500067420064;Fastkraft;kWh;Forbruksmåler
707057500067420965;Fastkraft;kWh;Forbruksmåler
EID_972418013_00021;Kaldtvann;m3;Annen måler
EID_972418013_00023;Temperatur;°C;Annen måler
EID_972418013_00022;Temperatur;°C;Annen måler
707057500089501441-EID_972418013_00020;Fjernvarme;kWh;Forbruksmåler
707057500067411147;Fastkraft;kWh;Forbruksmåler
EID_972418013_00002;Fastkraft;kWh;Annen måler
EID_972418013_00002-(EID_972418013_00001+EID_972418013_00003+EID_972418013_00004+EID_972418013_00005);Fastkraft;kWh;Forbruksmåler
EID_972418013_00004;Fastkraft;kWh;Forbruksmåler
EID_972418013_00003;Fastkraft;kWh;Forbruksmåler
EID_972418013_00001;Fastkraft;kWh;Forbruksmåler
EID_972418013_00005;Elkjel;kWh;Forbruksmåler
707057500067171706;Fastkraft;kWh;Forbruksmåler
707057500067064183;Fastkraft;kWh;Forbruksmåler
707057500067064190;Fastkraft;kWh;Forbruksmåler
707057500067064176;Fastkraft;kWh;Forbruksmåler
707057500067312055;Fastkraft;kWh;Forbruksmåler
707057500067407799;Fastkraft;kWh;Annen måler
707057500067086468;Elkjel;kWh;Annen måler
