location;municipality_code;meter_id;meter_name
Brinken barnehage;5001;Fastkraft-timesmålt;El_Local_T01
Brinken barnehage;5001;Trondheim-VOLL;Eklima_68860_TAM
Lade skole;5001;Temperatur VOLL;Eklima_68860_TAM
Lade skole;5001;Voll TAN;Eklima_68860_TAN
Lade skole;5001;Fjernvarme;El_Local_T02
Lade skole;5001;Fastkraft;El_Local_T04
Lade skole;5001;Ladestasjon elmåler;El_Local_T03
Bromstad helse og velferdssenter;5001;Vannmåler;El_Local_T07
Bromstad helse og velferdssenter;5001;Voll TAN;Eklima_68860_TAN
Bromstad helse og velferdssenter;5001;Fjernvarme;El_Local_T05
Bromstad helse og velferdssenter;5001;Fastkraft-timesmålt;El_Local_T06
Bromstad helse og velferdssenter;5001;Trondheim-VOLL;Eklima_68860_TAM
