Rapport;Energiforbruk;;;;;;;
Objekt;Hele barnehagen;;;;;Varmemåler;kalorimengdemåler (Fjernvarmemåler, oppvarming av bygget);
Beskrivelse;Timeverdier for forrige år.;;;;;El:;El-måler til lys, ventilsjon, PC osv.;
Tid (Time);El - KWh;Varmemåler - KWh;Utetemperatur - grader;;;Byggeår:;1826;(gammelt bygg)
01.01.2021 00:00 - 01:00;4;19;0,2;;;Oppvarmet areal:;1621;M2
01.01.2021 01:00 - 02:00;4;20;0,2;;;Adresse:;Øvre Storgate 18 Drammen 3018;
01.01.2021 02:00 - 03:00;4;22;0,18;;;;;
01.01.2021 03:00 - 04:00;4;19;0,12;;;;;
01.01.2021 04:00 - 05:00;4;21;0,09;;;;;
01.01.2021 05:00 - 06:00;4;20;0,06;;;;;
01.01.2021 06:00 - 07:00;5;21;0,05;;;;;
01.01.2021 07:00 - 08:00;5;20;0,03;;;;;
01.01.2021 08:00 - 09:00;6;21;0,01;;;;;
01.01.2021 09:00 - 10:00;3;21;0;;;;;
01.01.2021 10:00 - 11:00;4;20;0,03;;;;;
01.01.2021 11:00 - 12:00;4;21;0,07;;;;;
01.01.2021 12:00 - 13:00;5;21;0,16;;;;;
01.01.2021 13:00 - 14:00;4;21;0,21;;;;;
01.01.2021 14:00 - 15:00;4;21;0,17;;;;;
01.01.2021 15:00 - 16:00;4;20;0,06;;;;;
01.01.2021 16:00 - 17:00;5;21;0;;;;;
01.01.2021 17:00 - 18:00;5;21;0;;;;;
01.01.2021 18:00 - 19:00;4;22;0,01;;;;;
01.01.2021 19:00 - 20:00;4;20;0;;;;;
01.01.2021 20:00 - 21:00;4;21;0;;;;;
01.01.2021 21:00 - 22:00;6;21;-0,04;;;;;
01.01.2021 22:00 - 23:00;3;22;-0,1;;;;;
01.01.2021 23:00 - 00:00;5;20;-0,14;;;;;
02.01.2021 00:00 - 01:00;5;21;-0,13;;;;;
02.01.2021 01:00 - 02:00;4;21;-0,08;;;;;
