Rapport;Energiforbruk;;;;;;
Objekt;9. Åskollen bo og servicesenter;;;;;El 006408599-uprioritert:;El-måler til el-kjele/varmepumpe (oppvarming av bygget)
Beskrivelse;Timeverdier for forrige år.;;;;;El 065806025:;El-måler til lys, ventilsjon, PC osv.
Tid (Time);El 065806025 - KWh;El 006408599-uprioritert - KWh;Utetemperatur - grader;;;;
01.01.2021 00:00 - 01:00;70;6;0,2;;;;
01.01.2021 01:00 - 02:00;65;5;0,2;;;;
01.01.2021 02:00 - 03:00;62;6;0,18;;;;
01.01.2021 03:00 - 04:00;60;5;0,12;;;;
01.01.2021 04:00 - 05:00;59;6;0,09;;;;
01.01.2021 05:00 - 06:00;62;6;0,06;;;;
01.01.2021 06:00 - 07:00;96;6;0,05;;;;
01.01.2021 07:00 - 08:00;100;6;0,03;;;;
01.01.2021 08:00 - 09:00;112;9;0,01;;;;
01.01.2021 09:00 - 10:00;111;10;0;;;;
01.01.2021 10:00 - 11:00;106;9;0,03;;;;
01.01.2021 11:00 - 12:00;110;7;0,07;;;;
01.01.2021 12:00 - 13:00;108;9;0,16;;;;
01.01.2021 13:00 - 14:00;108;7;0,21;;;;
01.01.2021 14:00 - 15:00;116;8;0,17;;;;
01.01.2021 15:00 - 16:00;111;7;0,06;;;;
01.01.2021 16:00 - 17:00;110;9;0;;;;
01.01.2021 17:00 - 18:00;105;7;0;;;;
01.01.2021 18:00 - 19:00;110;8;0,01;;;;
01.01.2021 19:00 - 20:00;104;8;0;;;;
01.01.2021 20:00 - 21:00;103;7;0;;;;
01.01.2021 21:00 - 22:00;62;7;-0,04;;;;
01.01.2021 22:00 - 23:00;73;5;-0,1;;;;
01.01.2021 23:00 - 00:00;66;6;-0,14;;;;
02.01.2021 00:00 - 01:00;67;5;-0,13;;;;
02.01.2021 01:00 - 02:00;65;7;-0,08;;;;
02.01.2021 02:00 - 03:00;64;5;0;;;;
02.01.2021 03:00 - 04:00;63;6;0,03;;;;
02.01.2021 04:00 - 05:00;61;6;0,04;;;;
02.01.2021 05:00 - 06:00;63;5;0,09;;;;
02.01.2021 06:00 - 07:00;91;6;0,12;;;;
02.01.2021 07:00 - 08:00;94;5;0,07;;;;
02.01.2021 08:00 - 09:00;103;8;0,03;;;;
