;Fastkraft;Varmepumpe 1 EL tilført;Varmepumpe 1 avgitt energi;Varmepumpe 2 EL tilført;Varmepumpe 2 avgitt energi;Varmevannsbereder EL;Elektrokjel spisslast;EL vifter;Varme ventilasjon;EL vifter;Varme ventilasjon;EL vifter;Varme ventilasjon;EL vifter;Varme ventilasjon;EL vifter;Varme ventilasjon;Varme radiator;Varme gulv;Radon;Radon;Radon;Areal;Temperatur
dateUnit;G02_0038_M1E;G02_0038_SM_M16E;G02_0038_SM_M27V;G02_0038_SM_M17E;G02_0038_SM_M28V;G02_0038_SM_M18E;G02_0038_SM_M19E;G02_0038_SM_M1E;G02_0038_SM_M22V;G02_0038_SM_M2E;G02_0038_SM_M23V;G02_0038_SM_M3E;G02_0038_SM_M24V;G02_0038_SM_M4E;G02_0038_SM_M25V;G02_0038_SM_M5E;G02_0038_SM_M26V;G02_0038_SM_M29V;G02_0038_SM_M30V;G02_0038_M_M1RD;G02_0038_M_M1RD;G02_0038_M_M1RD;Hovedbygg;MET_44640_TA
01.01.2021 00:00;31;1;0;14;38;5;0;0;0;0;0;0;0;0;0;0;0;30;5;971;1018,2;676;5678;2,6
01.01.2021 01:00;31;1;0;14;37;5;0;0;0;0;0;0;0;0;0;0;0;20;12;897,7;1043,6;789,2;5678;2,7
01.01.2021 02:00;33;2;4;14;37;5;0;0;0;0;0;0;0;0;0;0;0;30;13;739,7;781,3;893,2;5678;2,7
01.01.2021 03:00;31;1;0;14;37;4;0;0;0;0;0;0;0;0;0;0;0;30;5;731,5;521,2;933,3;5678;2,9
01.01.2021 04:00;28;2;2;9;30;5;0;0;0;0;0;0;0;0;0;0;0;30;2;900,3;701,1;858,2;5678;2,6
01.01.2021 05:00;32;1;0;14;32;5;0;0;0;0;0;0;0;0;0;0;0;30;1;903,5;849,2;807,8;5678;2,6
01.01.2021 06:00;27;1;0;10;26;5;0;0;0;0;0;0;0;0;0;0;0;30;1;925,5;841;841,2;5678;2,6
01.01.2021 07:00;28;1;0;11;29;4;0;0;0;0;0;0;0;0;0;0;0;20;1;1004,6;833,8;860,3;5678;2,9
01.01.2021 08:00;28;1;0;11;29;5;0;0;0;0;0;0;0;0;0;0;0;30;1;951,6;910;1057,3;5678;2,8
01.01.2021 09:00;27;1;0;10;28;4;0;0;0;0;0;0;0;0;0;0;0;30;2;1070,2;874,7;1079,2;5678;2,8
01.01.2021 10:00;29;2;4;10;27;6;0;0;0;0;0;0;0;0;0;0;0;30;1;1063,6;881,3;929,9;5678;2,7
01.01.2021 11:00;30;4;6;11;29;5;0;0;0;0;0;0;0;0;0;0;0;30;1;946,3;783;922;5678;2,7
01.01.2021 12:00;25;1;3;10;26;5;0;0;0;0;0;0;0;0;0;0;0;30;1;834,7;820,1;986,7;5678;2,9
01.01.2021 13:00;23;1;0;9;23;4;0;0;0;0;0;0;0;0;0;0;0;20;0;845,8;815,6;851;5678;3,2
01.01.2021 14:00;29;1;0;14;38;5;0;0;0;0;0;0;0;0;0;0;0;30;8;899,2;762,7;854,5;5678;3,1
01.01.2021 15:00;32;3;8;14;37;5;0;0;0;0;0;0;0;0;0;0;0;30;12;841,9;621,8;857,3;5678;2,5
01.01.2021 16:00;32;4;8;11;27;5;0;0;0;0;0;0;0;0;0;0;0;30;0;734,8;673,8;981,3;5678;1,4
01.01.2021 17:00;30;4;9;11;26;4;0;0;0;0;0;0;0;0;0;0;0;30;1;904,4;789,1;994,4;5678;1,2
01.01.2021 18:00;32;2;4;13;35;5;0;0;0;0;0;0;0;0;0;0;0;30;1;978,2;773,3;1026,6;5678;1,4
01.01.2021 19:00;30;1;0;12;27;5;0;0;0;0;0;0;0;0;0;0;0;30;2;1038,4;765,6;923,6;5678;0,9
01.01.2021 20:00;37;7;15;12;32;5;0;0;0;0;0;0;0;0;0;0;0;40;5;1103,7;714,7;964,5;5678;0,2
01.01.2021 21:00;37;6;17;15;36;5;0;0;0;0;0;0;0;0;0;0;0;30;16;964,2;788,6;1024,7;5678;-0,2
01.01.2021 22:00;31;4;6;11;26;4;0;0;0;0;0;0;0;0;0;0;0;30;8;897,7;856,2;1087,5;5678;-0,1
01.01.2021 23:00;32;2;5;13;31;6;0;0;0;0;0;0;0;0;0;0;0;30;6;993,9;809,5;859,4;5678;-0,1
02.01.2021 00:00;38;8;21;15;36;4;0;0;0;0;0;0;0;0;0;0;0;40;5;932,1;730,8;921;5678;-0,1
02.01.2021 01:00;27;1;0;9;21;5;0;0;0;0;0;0;0;0;0;0;0;30;1;754,4;668,4;863,9;5678;-0,1
